partner_1,partner_2,exchange_tag
ISV,PLATFORM,Data Integration
ENABLER,PLATFORM,Data Integration
SI,ISV,Knowledge Transfer
SI,PLATFORM,Knowledge Transfer
ISV,ISV,Co-Branding/Marketing
ISV,ENABLER,Co-Branding/Marketing
SI,SI,Knowledge Transfer
SERVICE,ISV,Data Integration
SERVICE,PLATFORM,Data Marketplace
ENABLER,ISV,Knowledge Transfer
PLATFORM,HCP,Infrastructure Integration
ISV,HCP,Infrastructure Integration
ENABLER,HCP,Infrastructure Integration
SI,HCP,Knowledge Transfer
SERVICE,HCP,Data Marketplace
PLATFORM,PLATFORM,Infrastructure Integration
ENABLER,ENABLER,Knowledge Transfer
SERVICE,SERVICE,Data Exchange
PLATFORM,SERVICE,Data Marketplace
ISV,SERVICE,Data Integration
TOOLING,ISV,Knowledge Transfer
TOOLING,PLATFORM,Knowledge Transfer
TOOLING,ENABLER,Knowledge Transfer
TOOLING,SI,Knowledge Transfer
TOOLING,HCP,Infrastructure Integration
TOOLING,SERVICE,Data Integration
TOOLING,TOOLING,Knowledge Transfer
HCP,HCP,Infrastructure Integration
ENABLER,SERVICE,Data Integration